product,rating,rating count,price,product url
"Plant Pots Set of 2 Pack 8 inch,Planters for Indoor Plants with Drainage Holes, GARDIFE Modern Decorative Flower Pots for All House Plants, Flowers, Green  ",4.6 out of 5 stars,241  ,18.99,https://amazon.com/Planters-Drainage-GARDIFE-Decorative-Flowers/dp/B09TRS4Y8T/ref=sr_1_51?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-51
"Laiensia Bamboo Plant Stand Rack 6 Tier,Multiple Stand Holder Shelf Rack, Indoor&Outdoor Planter Display Shelves for Patio Garden, Living Room, Corner Balcony and Bedroom,Black  ",3.3 out of 5 stars,9  ,29.97,https://amazon.com/Laiensia-Multiple-Outdoor-Planter-Display/dp/B09PH2FD3M/ref=sr_1_52?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-52
"9 and 8 Inch Plant Pots, 2 Pack Large Plastic Planters with Saucer, Premium Flower pots with Multiple Drainage Holes for for Indoor Windowsill Garden Flower Plants (White)  ",4.7 out of 5 stars,400  ,14.95,https://amazon.com/Plastic-Planters-Multiple-Drainage-Windowsill/dp/B09TGX1YBJ/ref=sr_1_53?keywords=indoor+plants&qid=1665566700&qu=eyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%3D%3D&sr=8-53
"Plant Stand Rack with Wheels, Iron Plant Stand 5 Tie 6 Pots Indoor Outdoor Plant Shelf Flower Stands, Garden Shelves Plant Display Holder Rack for Living Room Corner Balcony Lawn Patio (Green)  ",4.3 out of 5 stars,66  ,50.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo3MzQwNTAwODE5NTE1NjQ6MTY2NTU2NjcwMDpzcF9idGY6MjAwMDk0Mzk0NTIzMzUxOjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FWheels-Outdoor-Shelves-Display-Balcony%2Fdp%2FB09C792SKQ%2Fref%3Dsr_1_55_sspa%3Fkeywords%3Dindoor%2Bplants%26qid%3D1665566700%26qu%3DeyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%253D%253D%26sr%3D8-55-spons%26psc%3D1
"Succulent Pots, Warmplus 3 inch Mandala Planter Pot with Drainage and Bamboo Tray, Small Pots for All House Plants, Succulents, Flowers, Cactus, Pack of 6 - Plants Not Included  ",4.7 out of 5 stars,583  ,26.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo3MzQwNTAwODE5NTE1NjQ6MTY2NTU2NjcwMDpzcF9idGY6MjAwMDg5ODk3MTczMTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FSucculent-Warmplus-Mandala-Drainage-Succulents%2Fdp%2FB095YDFZKD%2Fref%3Dsr_1_56_sspa%3Fkeywords%3Dindoor%2Bplants%26qid%3D1665566700%26qu%3DeyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%253D%253D%26sr%3D8-56-spons%26psc%3D1
"2 Pack Moss Pole, Moss Pole for Plants Monstera, Moss Poles for Climbing Plants, Bendable Plant Sticks Support, Plant Stakes for Indoor/Outdoor Plants(27'')  ",3.8 out of 5 stars,9  ,8.49,https://amazon.com/sspa/click?ie=UTF8&spc=MTo3MzQwNTAwODE5NTE1NjQ6MTY2NTU2NjcwMDpzcF9idGY6MjAwMDg0ODQ2NjYzNTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FMonstera-Climbing-Bendable-Support-Outdoor%2Fdp%2FB0B8J1FD83%2Fref%3Dsr_1_57_sspa%3Fkeywords%3Dindoor%2Bplants%26qid%3D1665566700%26qu%3DeyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%253D%253D%26sr%3D8-57-spons%26psc%3D1
"Plant stand, Kcysta Plant Stand Indoor Outdoor, Adjustable Plant Shelf, Black  ",4.8 out of 5 stars,8  ,11.19,https://amazon.com/sspa/click?ie=UTF8&spc=MTo3MzQwNTAwODE5NTE1NjQ6MTY2NTU2NjcwMDpzcF9idGY6MjAwMDg0MzY2NjY0Nzk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FPlant-Kcysta-Indoor-Outdoor-Adjustable%2Fdp%2FB0B4C83NWW%2Fref%3Dsr_1_58_sspa%3Fkeywords%3Dindoor%2Bplants%26qid%3D1665566700%26qu%3DeyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%253D%253D%26sr%3D8-58-spons%26psc%3D1
"2 Pack Suction Cup Shelf for Plants Window, 12 Inch Acrylic Window Sill Extender for Plants, Window Plant Shelves, for Succulent Planters, Herb Pots, Indoor Plants  ",4.5 out of 5 stars,124  ,20.55,https://amazon.com/sspa/click?ie=UTF8&spc=MTo3MzQwNTAwODE5NTE1NjQ6MTY2NTU2NjcwMDpzcF9idGY6MjAwMDM3MzQyOTU1OTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FSuction-Acrylic-Extender-Succulent-Planters%2Fdp%2FB09N3Z1RF9%2Fref%3Dsr_1_59_sspa%3Fkeywords%3Dindoor%2Bplants%26qid%3D1665566700%26qu%3DeyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%253D%253D%26sr%3D8-59-spons%26psc%3D1
Honeycomber 1000 - Adjustable Scrog System for Plants - Horizontal Trellis & Plant Trainer - for Indoor or Outdoor Growing - Beginner Friendly Scrogging Kit with Reusable Screen Panels and Wheels  ,4.6 out of 5 stars,5  ,39.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo3MzQwNTAwODE5NTE1NjQ6MTY2NTU2NjcwMDpzcF9idGY6MjAwMDYyMzg5NTMxOTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&url=%2FHoneycomber-1000-Adjustable-Horizontal-Scrogging%2Fdp%2FB0B1729CPF%2Fref%3Dsr_1_60_sspa%3Fkeywords%3Dindoor%2Bplants%26qid%3D1665566700%26qu%3DeyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%253D%253D%26sr%3D8-60-spons%26psc%3D1
"LINZINAR Plant Stand 4 Tier 5 Potted Indoor Plant Shelf Multiple Stands for Garden Corner Balcony Living Room (4 Tier 5 Potted, Black)  ",4.1 out of 5 stars,935  ,31.99,https://amazon.com/sspa/click?ie=UTF8&spc=MTo2NzU3Njc4Mzc5NzEwMDE3OjE2NjU1NjY3MDQ6c3BfYXRmX25leHQ6MjAwMDU4OTQyMjU4MTk4OjowOjo&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&url=%2FLINZINAR-Potted-Indoor-Multiple-Balcony%2Fdp%2FB09H5BB7KV%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dindoor%2Bplants%26qid%3D1665566704%26qu%3DeyJxc2MiOiI3LjU4IiwicXNhIjoiNy40MiIsInFzcCI6IjYuNzcifQ%253D%253D%26sr%3D8-49-spons%26psc%3D1
